time,latitude,Longitude,elevation,distancia_geodesica_km,diferencia_tiempo_segundos,diferencia_tiempo_horas,rapidez_media_km_s,rapidez_media_km_h
2022-03-05 04:02:00+00:00,6.238849516963809,-75.60226988985724,1525.235683441162,0.00533732844480835,1.0,0.0002777777777777778,0.00533732844480835,19.21438240131006
2022-03-05 04:02:01+00:00,6.238840380689352,-75.60231724761016,1525.227870941162,0.003947986576562985,1.0,0.0002777777777777778,0.003947986576562985,14.212751675626748
2022-03-05 04:02:02+00:00,6.23884616420254,-75.60235245160348,1525.176357269287,0.003877603129148887,1.0,0.0002777777777777778,0.003877603129148887,13.959371264935994
2022-03-05 04:02:03+00:00,6.2388534145487835,-75.60238673358745,1526.235195159912,0.00344822946173137,1.0,0.0002777777777777778,0.00344822946173137,12.41362606223293
2022-03-05 04:02:05+00:00,6.238856432033925,-75.60241774662919,1527.236171722412,0.0051583512394786195,2.0,0.0005555555555555556,0.0025791756197393097,9.285032231061516
2022-03-05 04:02:06+00:00,6.238857354043274,-75.60246435001082,1527.221523284912,0.004749244507108654,1.0,0.0002777777777777778,0.004749244507108654,17.097280225591156
2022-03-05 04:02:07+00:00,6.238857186405211,-75.60250726535506,1527.709804534912,0.004428894126054012,1.0,0.0002777777777777778,0.004428894126054012,15.944018853794443
2022-03-05 04:02:08+00:00,6.238848846411555,-75.60254640884287,1528.095546722412,0.0036698670193804697,1.0,0.0002777777777777778,0.0036698670193804697,13.21152126976969
2022-03-05 04:02:09+00:00,6.238845828926413,-75.60257943354137,1528.666347503662,0.002861215175318693,1.0,0.0002777777777777778,0.002861215175318693,10.300374631147294
2022-03-05 04:02:10+00:00,6.238843314355462,-75.6026051659841,1528.703945159912,0.002636101603592414,1.0,0.0002777777777777778,0.002636101603592414,9.48996577293269
2022-03-05 04:02:11+00:00,6.23884687666431,-75.60262871913201,1528.809902191162,0.003041627271318563,1.0,0.0002777777777777778,0.003041627271318563,10.949858176746826
2022-03-05 04:02:12+00:00,6.238856976857631,-75.60265428393669,1528.727382659912,0.0024917860983905003,1.0,0.0002777777777777778,0.0024917860983905003,8.970429954205802
2022-03-05 04:02:13+00:00,6.238866029313057,-75.60267490341849,1529.304531097412,0.004168007464830298,1.0,0.0002777777777777778,0.004168007464830298,15.004826873389073
2022-03-05 04:02:17+00:00,6.238885181961804,-75.60270734138376,1530.209316253662,0.003555887360548553,4.0,0.0011111111111111111,0.0008889718401371383,3.2002986244936977
2022-03-05 04:02:18+00:00,6.238898299640267,-75.60273667804486,1530.671718597412,0.005399867818815986,1.0,0.0002777777777777778,0.005399867818815986,19.43952414773755
2022-03-05 04:02:19+00:00,6.238921224145441,-75.60277976102718,1530.213466644287,0.009535739072911052,1.0,0.0002777777777777778,0.009535739072911052,34.328660662479784
2022-03-05 04:02:20+00:00,6.238947794778495,-75.6028617360402,1530.222011566162,0.004344323719143591,1.0,0.0002777777777777778,0.004344323719143591,15.639565388916926
2022-03-05 04:02:21+00:00,6.238969420088678,-75.6028945092816,1532.328945159912,0.010222988228866563,1.0,0.0002777777777777778,0.010222988228866563,36.802757623919625
2022-03-05 04:02:22+00:00,6.239049383444934,-75.60294086120614,1532.095058441162,0.009690147592904975,1.0,0.0002777777777777778,0.009690147592904975,34.88453133445791
2022-03-05 04:02:23+00:00,6.23912834097281,-75.6029788312275,1531.733486175537,0.010542876892341731,1.0,0.0002777777777777778,0.010542876892341731,37.954356812430234
2022-03-05 04:02:24+00:00,6.239219745626896,-75.60300590477475,1531.936855316162,0.01224853288744073,1.0,0.0002777777777777778,0.01224853288744073,44.094718394786625
2022-03-05 04:02:25+00:00,6.239325944340079,-75.60297447263785,1530.191738128662,0.010487552911019247,1.0,0.0002777777777777778,0.010487552911019247,37.75519047966929
2022-03-05 04:02:26+00:00,6.239420743664949,-75.60297187424787,1529.983730316162,0.010984832201889123,1.0,0.0002777777777777778,0.010984832201889123,39.54539592680084
2022-03-05 04:02:27+00:00,6.239519943488984,-75.60296676128694,1529.554775238037,0.011651992315729824,1.0,0.0002777777777777778,0.011651992315729824,41.94717233662737
2022-03-05 04:02:28+00:00,6.239625304011851,-75.60296583927759,1529.418544769287,0.011731268515912063,1.0,0.0002777777777777778,0.011731268515912063,42.23256665728343
2022-03-05 04:02:29+00:00,6.239730832172781,-75.6029550266225,1529.823574066162,0.012723718000497706,1.0,0.0002777777777777778,0.012723718000497706,45.80538480179174
2022-03-05 04:02:30+00:00,6.239844658417851,-75.60293826281615,1530.102382659912,0.013247600747805075,1.0,0.0002777777777777778,0.013247600747805075,47.69136269209827
2022-03-05 04:02:31+00:00,6.239963639533371,-75.60292434885689,1530.695644378662,0.012976387321430435,1.0,0.0002777777777777778,0.012976387321430435,46.714994357149564
2022-03-05 04:02:32+00:00,6.24008039944455,-75.60291269801148,1531.316982269287,0.014426275271543753,1.0,0.0002777777777777778,0.014426275271543753,51.93459097755751
2022-03-05 04:02:33+00:00,6.24021061231032,-75.6029048190225,1531.823574066162,0.014118528713586723,1.0,0.0002777777777777778,0.014118528713586723,50.8267033689122
2022-03-05 04:02:34+00:00,6.240338184876591,-75.60290976434537,1531.140468597412,0.012422111393936482,1.0,0.0002777777777777778,0.012422111393936482,44.71960101817133
2022-03-05 04:02:35+00:00,6.240450418560058,-75.60290515429863,1531.245937347412,0.012838520966739752,1.0,0.0002777777777777778,0.012838520966739752,46.21867548026311
2022-03-05 04:02:36+00:00,6.240565753547698,-75.60289191089161,1531.449550628662,0.012958937044595598,1.0,0.0002777777777777778,0.012958937044595598,46.652173360544154
2022-03-05 04:02:37+00:00,6.240681717178077,-75.60287506326624,1531.446620941162,0.015509091056417212,1.0,0.0002777777777777778,0.015509091056417212,55.83272780310196
2022-03-05 04:02:38+00:00,6.24082110822782,-75.60289048596808,1531.671474456787,0.014138285450065928,1.0,0.0002777777777777778,0.014138285450065928,50.89782762023734
2022-03-05 04:02:39+00:00,6.240948932251186,-75.60289291672,1532.530117034912,0.015804665491726908,1.0,0.0002777777777777778,0.015804665491726908,56.89679577021687
2022-03-05 04:02:40+00:00,6.241091843700261,-75.60289182707258,1532.928554534912,0.016071825130112998,1.0,0.0002777777777777778,0.016071825130112998,57.858570468406796
2022-03-05 04:02:41+00:00,6.241236892534644,-75.60288277461716,1533.679775238037,0.015931648699957793,1.0,0.0002777777777777778,0.015931648699957793,57.353935319848055
2022-03-05 04:02:42+00:00,6.24137938488856,-75.60286156840213,1533.945156097412,0.017154588421850043,1.0,0.0002777777777777778,0.017154588421850043,61.756518318660156
2022-03-05 04:02:43+00:00,6.24153449200675,-75.60285938910731,1533.867519378662,0.016774617808846624,1.0,0.0002777777777777778,0.016774617808846624,60.38862411184785
2022-03-05 04:02:44+00:00,6.241685827268513,-75.60286969884821,1534.334316253662,0.018443853926125728,1.0,0.0002777777777777778,0.018443853926125728,66.39787413405261
2022-03-05 04:02:45+00:00,6.241852417594047,-75.6028617360402,1534.068691253662,0.015455642067611531,1.0,0.0002777777777777778,0.015455642067611531,55.640311443401515
2022-03-05 04:02:46+00:00,6.241991682915242,-75.60285000137576,1533.970058441162,0.01667036761962097,1.0,0.0002777777777777778,0.01667036761962097,60.013323430635495
2022-03-05 04:02:47+00:00,6.242142305715235,-75.60284396640547,1535.070888519287,0.014912055325646026,1.0,0.0002777777777777778,0.014912055325646026,53.68339917232569
2022-03-05 04:02:48+00:00,6.24227691908017,-75.60283608741649,1535.965175628662,0.014597745889531572,1.0,0.0002777777777777778,0.014597745889531572,52.55188520231366
2022-03-05 04:02:49+00:00,6.242408808326574,-75.60283063917943,1537.296230316162,0.012473759885437417,1.0,0.0002777777777777778,0.012473759885437417,44.905535587574704
2022-03-05 04:02:50+00:00,6.2425208324624615,-75.60281747959145,1538.060390472412,0.01129325205421198,1.0,0.0002777777777777778,0.01129325205421198,40.65570739516313
2022-03-05 04:02:51+00:00,6.242622798314544,-75.60281186371633,1537.780117034912,0.009928820306554204,1.0,0.0002777777777777778,0.009928820306554204,35.74375310359513
2022-03-05 04:02:52+00:00,6.242712317040416,-75.60280499055573,1538.411220550537,0.008027430633756398,1.0,0.0002777777777777778,0.008027430633756398,28.898750281523036
2022-03-05 04:02:53+00:00,6.242784359498176,-75.60279610573836,1537.877285003662,0.007430663590890734,1.0,0.0002777777777777778,0.007430663590890734,26.75038892720664
2022-03-05 04:02:54+00:00,6.24285149854258,-75.60279878794738,1537.990077972412,0.0036795122035755924,1.0,0.0002777777777777778,0.0036795122035755924,13.246243932872133
2022-03-05 04:02:55+00:00,6.242884732788655,-75.60279719538578,1537.802333831787,0.003133347186744069,1.0,0.0002777777777777778,0.003133347186744069,11.280049872278648
2022-03-05 04:02:56+00:00,6.242912895983311,-75.6027940940816,1538.333827972412,0.0030665911150702316,1.0,0.0002777777777777778,0.0030665911150702316,11.039728014252834
2022-03-05 04:02:57+00:00,6.242939801892492,-75.60278738855907,1538.030849456787,0.0021718418779965313,1.0,0.0002777777777777778,0.0021718418779965313,7.818630760787513
2022-03-05 04:02:59+00:00,6.242959289817366,-75.60278495780715,1536.016445159912,0.002097459368175658,2.0,0.0005555555555555556,0.001048729684087829,3.775426862716184
2022-03-05 04:03:06+00:00,6.2429746287001695,-75.60279610573836,1535.029384613037,0.0035614549036134323,7.0,0.0019444444444444444,0.000508779271944776,1.8316053790011937
2022-03-05 04:03:15+00:00,6.242999900138232,-75.60277615680882,1535.630214691162,0.005341571114974653,9.0,0.0025,0.0005935079016638503,2.136628445989861
2022-03-05 04:03:16+00:00,6.2430420611111845,-75.6027526036609,1535.138027191162,0.011575491588250787,1.0,0.0002777777777777778,0.011575491588250787,41.67176971770283
2022-03-05 04:03:17+00:00,6.243135603150579,-75.60270566500313,1534.434902191162,0.009573683480606401,1.0,0.0002777777777777778,0.009573683480606401,34.465260530183045
2022-03-05 04:03:18+00:00,6.243219841277453,-75.60268571607358,1533.166347503662,0.008205350417614008,1.0,0.0002777777777777778,0.008205350417614008,29.53926150341043
2022-03-05 04:03:19+00:00,6.243293182930204,-75.60267448432333,1533.649745941162,0.007217652464871704,1.0,0.0002777777777777778,0.007217652464871704,25.983548873538137
